lemma,pos,freq,zipf
money,NOUN,928,5.8273687638812826
boy,NOUN,918,5.822663468863663
name,NOUN,916,5.8217162613302715
one,NOUN,908,5.817906636183506
after,ADP,892,5.810185642038544
their,PRON,891,5.8096984916992955
minute,NOUN,889,5.808722548632635
place,NOUN,879,5.803809662736192
old,ADJ,877,5.802820381028462
everything,NOUN,871,5.799838942670084
mr.,NOUN,868,5.798340512838912
stop,VERB,857,5.792801609585619
nice,ADJ,855,5.7917869023905935
lot,NOUN,854,5.791278658351426
woman,NOUN,851,5.789750347747009
always,ADV,844,5.786163234288076
kid,NOUN,838,5.783064806292697
thanks,NOUN,837,5.782546245655681
kind,NOUN,836,5.782027065101437
oh,NOUN,812,5.769376816903596
start,VERB,806,5.766155829467511
first,ADJ,796,5.7607338554000895
bring,VERB,795,5.760187916318891
sir,NOUN,791,5.7579972711600975
every,DET,784,5.7541368503468595
so,ADP,779,5.751358245334985
remember,VERB,764,5.74291414623811
away,ADV,761,5.741205444432993
wrong,ADJ,744,5.731393723208299
three,NUM,732,5.724331868720813
meet,VERB,731,5.723738164620281
house,NOUN,726,5.720757408362514
through,ADP,725,5.720158794233415
hi,NOUN,720,5.71715328409369
hello,NOUN,719,5.716549678045303
run,VERB,712,5.712300781299277
more,ADV,710,5.711079136381496
car,NOUN,708,5.7098540453521895
around,ADP,707,5.709240201459321
father,NOUN,700,5.704918827676678
another,DET,694,5.701180258117276
might,VERB,686,5.696144903369173
stay,VERB,684,5.694876889382537
as,ADV,681,5.692967899575206
baby,NOUN,675,5.689124560493446
lose,VERB,675,5.689124560493446
may,VERB,669,5.685246905430244
mother,NOUN,669,5.685246905430244
live,VERB,667,5.68394662157897
course,NOUN,665,5.682642432965525
play,VERB,664,5.681988867030438
understand,VERB,651,5.673401776230612
room,NOUN,649,5.67206548446279
hand,NOUN,644,5.668706655022233
which,DET,644,5.668706655022233
wan,VERB,643,5.668031760586643
world,NOUN,640,5.666000761646308
oh,ADP,637,5.663960219997771
ai,VERB,630,5.659161337116003
hell,NOUN,629,5.65847143310769
die,VERB,627,5.6570883284931375
job,NOUN,626,5.65639512087285
today,NOUN,619,5.651511436682538
real,ADJ,617,5.650105951695663
shit,NOUN,612,5.646572209807982
dead,ADJ,603,5.640138099802572
next,ADJ,597,5.63579511879179
wait,NOUN,597,5.63579511879179
morning,NOUN,597,5.63579511879179
show,VERB,594,5.633607232643614
son,NOUN,594,5.633607232643614
sorry,ADJ,587,5.6284588889100355
