word,pos,cefr,zipf,zipf_rank
illness,noun,A2,3.8982739854277977,2082
corner,noun,A2,4.727862715045849,320
flying,noun,A2,3.6818881315129435,2677
flying,adj,A2,3.701350611282376,2629
image,noun,A2,4.47689869014439,657
correctly,adv,A2,3.7873983162829177,2408
electric,adj,A2,4.151096303598237,1353
focus,verb,A2,4.566494712810874,500
focus,noun,A2,3.5894786197315636,2917
immediately,adv,A2,4.683513689799681,362
count,verb,A2,4.8944086561953,194
electrical,adj,A2,3.8938536471972043,2096
following,adj,A2,3.7030774305828817,2624
impossible,adj,A2,4.713969399124384,329
couple,noun,A2,5.3485230937471595,43
electricity,noun,A2,4.027588522096385,1714
foreign,adj,A2,4.263572363469188,1076
included,adj,A2,1.3016768898013378,4390
cover,verb,A2,5.1134529114042415,87
electronic,adj,A2,3.765569878787245,2469
forest,noun,A2,4.221277913585449,1178
crazy,adj,A2,5.420338352655834,31
elevator,noun,A2,4.4075275641864815,766
fork,noun,A2,3.80410400978577,2353
increase,verb,A2,4.050639751057499,1637
increase,noun,A2,3.6671648746922374,2725
creative,adj,A2,3.9980332785346695,1811
employ,verb,A2,3.9004673965644527,2073
formal,adj,A2,3.8971731116269117,2086
incredible,adj,A2,4.534673000193491,548
credit,noun,A2,4.659802175077987,392
employee,noun,A2,4.35858174113781,862
fortunately,adv,A2,3.9421583267717595,1956
independent,adj,A2,3.93716063661625,1976
crime,noun,A2,4.888601597946158,198
employer,noun,A2,3.79303858363561,2391
forward,adv,A2,4.869173780905561,220
individual,noun,A2,3.7047974109771555,2618
individual,adj,A2,4.021836193207294,1732
criminal,noun,A2,4.225956175863219,1176
empty,adj,A2,2.2047668767932813,4351
free,adv,A2,3.6943738430610034,2646
industry,noun,A2,4.077651220930707,1547
cross,verb,A2,4.895184479133103,193
cross,noun,A2,3.9411633790699234,1964
ending,noun,A2,4.0451866545297674,1657
fresh,adj,A2,4.672004897580848,372
informal,adj,A2,3.2047668767932813,3736
crowd,noun,A2,4.534418952522074,549
energy,noun,A2,4.522569139020857,569
frog,noun,A2,4.113251895671931,1459
injury,noun,A2,4.246652798213385,1122
crowded,adj,A2,3.925958985637006,2010
engine,noun,A2,4.577448789966269,486
insect,noun,A2,3.768544510155447,2463
cry,verb,A2,5.031327558137258,112
engineer,noun,A2,4.1037661476830705,1488
furniture,noun,A2,4.160815187095869,1326
inside,noun,A2,3.418948185457102,3323
curly,adj,A2,3.366134879028256,3431
enormous,adj,A2,3.9874186284036015,1832
instead,adv,A2,4.89893317272648,190
cycle,noun,A2,3.820190829679225,2299
cycle,verb,A2,2.602706885465319,4270
enter,verb,A2,4.773555089108628,286
future,adj,A2,4.8837402527130465,205
instruction,noun,A2,4.246159561951506,1124
daily,adj,A2,4.012640008796613,1763
environment,noun,A2,4.123844969169355,1425
gallery,noun,A2,3.9249261801992383,2011
instructor,noun,A2,3.7314291698037456,2560
danger,noun,A2,4.630871304889789,423
equipment,noun,A2,4.402736244709454,774
gap,noun,A2,3.5939329611578135,2903
instrument,noun,A2,4.113251895671931,1459
dark,noun,A2,4.032459165467727,1702
error,noun,A2,4.021836193207294,1732
garbage,noun,A2,4.399627960795488,779
intelligent,adj,A2,4.113251895671931,1459
especially,adv,A2,4.82827459890479,244
gas,noun,A2,4.795692264558482,270
international,adj,A2,4.089845260942505,1519
dead,adj,A2,5.600224324880044,14
essay,noun,A2,3.8482195532794687,2216
gate,noun,A2,4.518370488971092,580
introduction,noun,A2,3.718317397139619,2589
deal,verb,A2,4.947786411780186,152
everyday,adj,A2,3.973774747737055,1870
general,adj,A2,4.577218578202647,487
invent,verb,A2,4.3505069763296875,876
death,noun,A2,5.305525011835636,49
gift,noun,A2,4.8873631682538345,199
invention,noun,A2,3.8882641944730927,2115
decision,noun,A2,4.852882833549244,227
evidence,noun,A2,4.8800868601325735,209
goal,noun,A2,4.308570597749238,969
invitation,noun,A2,4.252528348689884,1103
deep,adj,A2,4.898493825716928,191
exact,adj,A2,4.341091008977475,894
god,noun,A2,4.889275619522582,197
invite,verb,A2,4.896621626496421,192
definitely,adv,A2,4.883512813858985,206
exactly,adv,A2,5.398830039647297,33
gold,noun,A2,4.79289846604062,274
gold,adj,A2,3.8318765880044197,2261
involve,verb,A2,4.261195266774336,1084
degree,noun,A2,4.55767261652374,521
excellent,adj,A2,4.433936579332382,723
golf,noun,A2,4.35858174113781,862
item,noun,A2,4.22853359875103,1161
dentist,noun,A2,4.056789156196409,1618
good,noun,A2,4.632699060843167,422
department,noun,A2,4.621615329781646,433
exist,verb,A2,4.697352675071274,345
government,noun,A2,4.7800990775414185,282
jam,noun,A2,4.035676176339725,1694
depend,verb,A2,4.6651008227185145,382
expect,verb,A2,5.255049940528034,57
grass,noun,A2,4.181346095433391,1277
jazz,noun,A2,3.876864734728999,2138
desert,noun,A2,4.364634723885848,846
experience,noun,A2,4.765868260442337,297
greet,verb,A2,3.951984412933274,1927
jewelry,noun,A2,4.112581170470039,1464
designer,noun,A2,3.7610693775605686,2479
experiment,noun,A2,4.310277061563255,965
grocery,noun,A2,4.0451866545297674,1657
joke,noun,A2,4.940265973094054,162
joke,verb,A2,4.268756623945835,1058
dessert,noun,A2,4.172665703561913,1294
expert,noun,A2,4.427483347940864,733
expert,adj,A2,3.127751692502164,3873
ground,noun,A2,4.884762256149026,203
journalist,noun,A2,3.8710507994163836,2154
destroy,verb,A2,4.947884502008023,151
explanation,noun,A2,4.334295650652058,919
guest,noun,A2,4.8099371953136725,255
jump,verb,A2,5.0106074256079545,122
jump,noun,A2,3.8982739854277977,2082
detective,noun,A2,4.522830211756043,568
express,verb,A2,4.337506715054166,905
guide,noun,A2,4.066599874451226,1584
guide,verb,A2,3.8318765880044197,2261
kid,noun,A2,5.761491403188742,9
develop,verb,A2,4.459435775848202,685
expression,noun,A2,4.141154937175536,1381
gun,noun,A2,5.423072570508561,30
kill,verb,A2,5.921354454468974,6
device,noun,A2,4.337506715054166,905
extreme,adj,A2,3.9765380305391496,1857
guy,noun,A2,6.112037122686889,4
kilometer,noun,A2,3.6070282592479614,2878
diary,noun,A2,3.9280172571763803,2005
extremely,adv,A2,4.376858744420029,824
habit,noun,A2,4.306428045392339,980
king,noun,A2,4.833538838897147,240
differently,adv,A2,3.9945238090785677,1820
factor,noun,A2,3.9015599618750256,2071
half,adv,A2,4.365385449192755,844
knee,noun,A2,4.617647235258255,436
digital,adj,A2,3.6538594079127003,2758
factory,noun,A2,4.25349992511725,1100
hall,noun,A2,4.596803975053529,463
knife,noun,A2,4.717817920969667,325
direct,adj,A2,4.271092802155319,1051
fail,verb,A2,4.81141690537172,254
happily,adv,A2,4.010946850777168,1775
knock,verb,A2,5.036236711380814,110
direction,noun,A2,4.521784977841393,572
fair,adj,A2,4.891291430432604,195
have,auxiliaryv,A2,5.476201867721487,23
knowledge,noun,A2,4.407187074571311,767
director,noun,A2,4.492568606723507,623
fan,noun,A2,4.641922651369269,411
headache,noun,A2,4.278485227139404,1030
lab,noun,A2,4.5937113257960736,466
disagree,verb,A2,3.9134001978086794,2043
farm,verb,A2,3.107856863785225,3903
heart,noun,A2,5.395378674606887,35
lady,noun,A2,5.411120436865687,32
disappear,verb,A2,4.7410095836316,309
farming,noun,A2,3.1145902464441932,3892
heat,noun,A2,4.546942729258799,534
heat,verb,A2,3.6480298642519764,2773
lake,noun,A2,4.344645963194518,887
disaster,noun,A2,4.257845320276701,1090
fashion,noun,A2,4.206392435080018,1210
heavy,adj,A2,4.665664719549829,380
lamp,noun,A2,4.167372949717408,1312
discover,verb,A2,4.644888479981085,410
fat,noun,A2,3.1881676149738194,3761
height,noun,A2,4.101017439254919,1493
land,verb,A2,4.533146480232019,552
discovery,noun,A2,3.972849732516421,1872
fear,noun,A2,4.693317593293726,350
helpful,adj,A2,4.0848655808765955,1530
laptop,noun,A2,3.571189834019254,2956
discussion,noun,A2,4.135461264457817,1393
feature,noun,A2,3.9681948703562187,1887
hero,noun,A2,4.76898895278189,292
disease,noun,A2,4.463044892036312,678
feed,verb,A2,4.737839536842094,313
last,verb,A2,4.05295599378468,1630
distance,noun,A2,4.427158155501932,735
female,adj,A2,4.408207743623719,765
female,noun,A2,3.680074790749475,2684
divorced,adj,A2,2.6634047258189306,4241
fever,noun,A2,4.24566576487511,1125
hide,verb,A2,5.090975500960779,95
laughter,noun,A2,4.033265654988076,1700
document,noun,A2,4.244676483167378,1130
fiction,noun,A2,3.7729686008602763,2444
high,adv,A2,3.733040653960325,2555
law,noun,A2,5.170849917123021,78
double,adj,A2,4.69278850350414,351
double,verb,A2,4.161415455998485,1323
field,noun,A2,4.851905242856432,228
hill,noun,A2,4.478924726056961,649
lawyer,noun,A2,4.980104212235204,137
download,verb,A2,3.7873983162829177,2408
fight,verb,A2,5.248865455327431,59
fight,noun,A2,5.048311088738917,106
lazy,adj,A2,4.036476719390185,1690
downstairs,adj,A2,2.580430490754167,4286
figure,noun,A2,4.65366634523697,398
lead,verb,A2,5.047298111108276,107
leader,noun,A2,4.597463830052947,462
noisy,adj,A2,3.6615123721412255,2738
president,noun,A2,5.138443937195543,84
rock,noun,A2,4.873269273162645,216
learning,noun,A2,3.326982755066108,3522
prevent,verb,A2,4.252528348689884,1103
role,noun,A2,4.341091008977475,894
normal,adj,A2,4.831492086445968,241
print,verb,A2,4.1251511189716386,1422
roof,noun,A2,4.55791342300726,519
lecture,noun,A2,3.923890912767633,2014
lecture,verb,A2,3.750383209706418,2511
normally,adv,A2,4.20962541141361,1204
printer,noun,A2,3.388036720476086,3392
round,adj,A2,3.1405259805385928,3849
round,adv,A2,3.9962820887349064,1814
lemon,noun,A2,3.972849732516421,1872
notice,verb,A2,4.918886984358771,176
notice,noun,A2,4.337906433887632,903
prison,noun,A2,4.799435608088606,264
route,noun,A2,4.282588827578182,1022
lend,verb,A2,4.213367048555199,1195
novel,noun,A2,4.105816322136688,1481
prize,noun,A2,4.306857402305118,977
rude,adj,A2,4.337106627985886,907
process,noun,A2,4.392287597629744,796
run,noun,A2,4.455491754145867,691
level,noun,A2,4.770024220213495,290
number,verb,A2,4.057551745473829,1615
produce,verb,A2,4.332681171164874,922
runner,noun,A2,3.8494515951891604,2213
lifestyle,noun,A2,3.728188151165913,2566
nut,noun,A2,4.8264623391225605,245
